opeid,school,total,min_aid
02530600,Saint Charles Community College,2682474,1341237
00282100,Saint John Fisher College,2681804,1340902
00382200,Shepherd University,2679616,1339808
00277500,Molloy College,2677888,1338944
00204300,Husson University,2674616,1337308
00282000,Saint Francis College,2673260,1336630
00322400,University Of Portland,2672004,1336002
00383900,Carthage College,2668496,1334248
00212400,Bentley University,2665628,1332814
00350200,Lincoln Memorial University,2657937,1328969
00753200,Finger Lakes Community College - Suny Office Of Community Colleges,2655728,1327864
01049100,Hennepin Technical College,2654457,1327229
00212000,Merrimack College,2646845,1323423
00318500,University Of Tulsa (The),2645588,1322794
00234200,St. Catherine University,2645045,1322523
00573300,Bevill State Community College,2642839,1321420
00676800,Mid Michigan College,2641059,1320530
00224100,Calvin University,2639029,1319515
00245900,Crowder College,2638696,1319348
00189100,University Of Dubuque,2637393,1318697
00291900,Davidson County Community College,2636381,1318191
00341000,Roger Williams University,2629911,1314956
00237300,Rochester Community And Technical College,2629500,1314750
00281600,Siena College,2620637,1310319
00357600,Houston Baptist University,2615603,1307802
00538900,Gateway Technical College,2614556,1307278
00291600,Chowan University,2614325,1307163
00666100,Angelina College,2612956,1306478
00207800,Loyola University Maryland,2612460,1306230
00246800,Jefferson College,2610155,1305078
00693800,Linn-Benton Community College,2606675,1303338
00240400,East Central Community College,2606310,1303155
00293300,High Point University,2605940,1302970
00974400,Fox Valley Technical College,2598816,1299408
00768600,Southern University At Shreveport - Bossier City,2595115,1297558
00270300,College Of Mount Saint Vincent,2592348,1296174
00269900,Clarkson University,2590707,1295354
00319400,George Fox University,2589776,1294888
00197200,Lindsey Wilson College,2587859,1293930
00316800,Rogers State University,2586804,1293402
00348600,Lipscomb University,2582024,1291012
00206400,College Of Southern Maryland,2579022,1289511
00757300,Empire Beauty School,2572614,1286307
00235400,Hamline University,2570227,1285114
00322900,Albright College,2569568,1284784
00362800,Texarkana College,2568337,1284169
00247900,Lincoln University,2565804,1282902
00323500,Arcadia University,2563133,1281567
00525600,Wiregrass Georgia Technical College,2558893,1279447
00286000,Adirondack Community College - Suny Office Of Community Colleges,2558377,1279189
00531800,Catawba Valley Community College,2557958,1278979
00448100,Ohlone College,2555988,1277994
00217200,Mount Wachusett Community College,2554747,1277374
00342100,Bob Jones University,2552058,1276029
00366400,Weatherford College,2547296,1273648
00758200,Aims Community College,2541187,1270594
04281700,Compton College,2538405,1269203
00172800,Morton College,2532643,1266322
02177500,Rio Salado Community College,2531870,1265935
00151000,Northwest Florida State College,2530500,1265250
00130200,Saint Mary'S College Of California,2525736,1262868
00149900,Altierus Career College,2524835,1262418
00240300,Delta State University,2524437,1262219
00191500,Fort Hays State University,2524075,1262038
00164000,Prairie State College,2523787,1261894
01018200,Rogue Community College,2523281,1261641
02533600,Ross Medical Education Center,2521578,1260789
00256600,Wayne State College,2521559,1260780
00297300,Gaston College,2520848,1260424
00746900,Hussian College,2519530,1259765
00250000,College Of The Ozarks,2518807,1259404
00246600,Harris - Stowe State University,2513580,1256790
00285500,Suny College Of Technology At Canton,2510929,1255465
00764400,Lake Land College,2510560,1255280
00366300,Wayland Baptist University,2509726,1254863
00181400,Indiana University - Kokomo,2505620,1252810
00118500,College Of The Redwoods,2504489,1252245
02331300,Interactive College Of Technology,2503478,1251739
00294200,Livingstone College,2503063,1251532
00210700,Stevenson University,2499743,1249872
00342300,"Citadel, The Military College Of South Carolina",2499158,1249579
02077400,North Lake College,2498181,1249091
00546700,Sowela Technical Community College,2493383,1246692
00771300,Skyline College,2491579,1245790
00500600,Walla Walla Community College,2487718,1243859
00302300,Capital University,2486868,1243434
00678200,Genesee Community College,2484880,1242440
00202600,Southern University At New Orleans,2481663,1240832
00290300,Yeshiva University,2479795,1239898
00367900,Snow College,2478311,1239156
00119000,Contra Costa College,2477887,1238944
00246100,Drury University,2470201,1235101
00195400,Bellarmine University,2469277,1234639
00808000,State Fair Community College,2466914,1233457
00380100,Wenatchee Valley College,2466867,1233434
03789300,Unitech Training Academy,2453939,1226970
00905800,Bethel University,2452828,1226414
00560100,Albany Technical College,2451149,1225575
00136300,Regis University,2448686,1224343
00351800,Southern Adventist University,2443809,1221905
00379100,Shoreline Community College,2438333,1219167
00383800,Carroll University,2437429,1218715
00285700,Suny College Of Technology At Delhi,2436849,1218425
02132300,Fortis Institute,2435661,1217831
00349900,Lane College,2430978,1215489
00199100,Elizabethtown Community  And Technical College,2426734,1213367
00374400,University Of Richmond,2425545,1212773
00527100,Southcentral Kentucky Community And Technical College,2424487,1212244
00262700,Princeton University,2424099,1212050
00100300,Faulkner University,2422978,1211489
00159200,South Georgia State College,2422737,1211369
00544900,Central Carolina Community College,2422099,1211050
00124200,Monterey Peninsula College,2415633,1207817
00149000,Gulf Coast State College,2415469,1207735
00249100,Moberly Area Community College,2410386,1205193
00173400,North Central College,2410282,1205141
00339400,Wilkes University,2403446,1201723
00759800,Hocking Technical College,2402471,1201236
00119900,Foothill College,2401437,1200719
01036400,Whatcom Community College,2392620,1196310
02339700,Ross Medical Education Center,2390068,1195034
00107900,Yavapai College,2389592,1194796
00288300,Utica College,2388832,1194416
00830400,Scottsdale Community College,2386925,1193463
00102400,University Of West Alabama,2384585,1192293
03838500,Northwest Career College,2384152,1192076
00549800,Wichita State University Campus Of Applied Sciences And Technology,2383798,1191899
00103600,Samford University,2381353,1190677
00384000,Western Technical College,2379444,1189722
01017600,Westmoreland County Community College,2377450,1188725
00143700,Catholic University Of America (The),2374572,1187286
02248200,Milan Institute Of Cosmetology,2373948,1186974
00244700,William Carey University,2370656,1185328
00546300,Alamance Community College,2367785,1183893
02244900,Goodwin University,2365797,1182899
03108100,Summit College,2365247,1182624
00884900,Palm Beach Atlantic University,2363047,1181524
00287000,Jefferson Community College,2361051,1180526
02342700,Fortis College,2359780,1179890
00363800,Texas College,2358852,1179426
00207400,Hagerstown Community College,2358314,1179157
00207500,Harford Community College,2343664,1171832
02060300,Miat College Of Technology,2341441,1170721
01054200,Empire Beauty School,2339199,1169600
00268100,Canisius College,2334830,1167415
00379200,Skagit Valley College,2333763,1166882
00173500,North Park University,2332872,1166436
00120200,Gavilan College,2328197,1164099
00210200,University Of Baltimore,2325946,1162973
00321200,Pacific University,2323471,1161736
00890200,Columbia Central University,2321653,1160827
00243600,Southwest Mississippi Community College,2320170,1160085
00865900,Lord Fairfax Community College,2319604,1159802
00286900,Jamestown Community College,2306997,1153499
00160600,Brigham Young University - Hawaii,2306881,1153441
00150200,Lake Sumter State College,2306379,1153190
00192300,Hutchinson Community College,2304535,1152268
00250200,Southwest Baptist University,2301587,1150794
00964700,Oklahoma State University - Oklahoma City,2300829,1150415
00172400,Millikin University,2299043,1149522
00348100,Carson - Newman University,2295168,1147584
00302500,Cedarville University,2294323,1147162
00148800,Florida Southern College,2291992,1145996
02531800,Paul Mitchell The School Costa Mesa,2289751,1144876
00360100,Paris Junior College,2287333,1143667
01210500,National Park College,2285507,1142754
00386800,Milwaukee School Of Engineering,2285262,1142631
00471300,Three Rivers College,2281288,1140644
02110800,California College San Diego,2281144,1140572
00757200,American Musical & Dramatic Academy,2278035,1139018
00353900,Alvin Community College,2277498,1138749
00128200,San Jose City College,2274964,1137482
00234300,College Of Saint Scholastica,2274924,1137462
02079400,Empire Beauty School,2268234,1134117
00940100,Colorado Christian University,2267714,1133857
00678500,Schenectady County Community College,2266692,1133346
02260800,Huertas College,2262464,1131232
04111300,West Hills College Lemoore,2260143,1130072
00296200,Shaw University,2258545,1129273
00933600,Johnston Community College,2258380,1129190
00142400,Wesleyan University,2257086,1128543
00311000,Otterbein University,2255286,1127643
00165700,Midwestern University,2255126,1127563
00769100,Mchenry County College,2254053,1127027
00976500,Three Rivers Community College,2253229,1126615
00376600,Virginia Union University,2251677,1125839
00304500,University Of Findlay (The),2250867,1125434
00317200,Oklahoma State University Institute Of Technology - Okmulgee,2248014,1124007
00229700,Muskegon Community College,2247350,1123675
00382300,West Liberty University,2246663,1123332
00261000,Felician University,2243499,1121750
01323100,University Of Houston - Victoria,2233006,1116503
00325900,Eastern University,2228030,1114015
02584400,New England Tractor Trailer Training School Of Massachusetts,2226771,1113386
00305000,John Carroll University,2224405,1112203
00186000,Drake University,2224225,1112113
02332800,Center For Employment Training,2223425,1111713
00704700,Los Angeles Southwest College,2222854,1111427
00220800,Simmons University,2222441,1111221
00107300,Eastern Arizona College,2222272,1111136
00817800,Empire Beauty School,2219238,1109619
01067400,Texas Tech University Health Sciences Center,2217206,1108603
00859600,West Los Angeles College,2215810,1107905
00189300,Upper Iowa University,2210375,1105188
00308300,University Of Mount Union,2209587,1104794
00149500,Jacksonville University,2208846,1104423
00176900,South Suburban College Of Cook County,2208424,1104212
02173200,Empire Beauty School,2208217,1104109
00239700,Belhaven University,2204818,1102409
00539000,Blackhawk Technical College,2201888,1100944
00840300,Indian Hills Community College,2199657,1099829
00356000,Dallas Baptist University,2198677,1099339
00253000,Montana State University - Billings,2193195,1096598
00336900,Susquehanna University,2191211,1095606
00308900,Ohio Northern University,2189709,1094855
00242200,Mississippi University For Women,2188061,1094031
02100200,Brookhaven College,2187307,1093654
01250000,Ranken Technical College,2185927,1092964
00976400,Tunxis Community College,2185505,1092753
00501900,Universidad Adventista De Las Antillas,2178276,1089138
00295100,North Carolina Wesleyan College,2177353,1088677
00163800,Black Hawk College,2172992,1086496
00169400,Chicago State University,2172014,1086007
02195800,Liceo De Arte Y Tecnología,2168379,1084190
00111600,Art Center College Of Design,2168231,1084116
00175300,School Of The Art Institute Of Chicago,2167774,1083887
00238200,Saint Olaf College,2167063,1083532
02180100,Ross Medical Education Center,2164321,1082161
00227300,Hope College,2163878,1081939
00162300,North Idaho College,2161877,1080939
00340200,Bryant University,2160764,1080382
00204000,University Of Maine - Farmington,2158052,1079026
00357000,Grayson College,2157844,1078922
02157100,Concorde Career College,2155995,1077998
00148600,Florida Memorial University,2154643,1077322
01216500,Atlanta Metropolitan  State College,2149954,1074977
02559400,Intercoast Colleges,2149757,1074879
00121500,La Sierra University,2144179,1072090
00165400,City Colleges Of Chicago - Kennedy King College,2144024,1072012
00110300,Philander Smith College,2143674,1071837
00344100,North Greenville University,2143104,1071552
00109100,Arkansas State University - Beebe,2141764,1070882
00266500,Vaughn College Of Aeronautics And Technology,2140817,1070409
00138500,Fairfield University,2137358,1068679
03367400,Community Care College,2135245,1067623
00354600,Coastal Bend College,2133542,1066771
00292600,Elizabeth City State University,2130978,1065489
01167800,State University Of New York Polytechnic Institute,2129510,1064755
00124700,Napa Valley College,2125082,1062541
00230200,Northwestern Michigan College,2124216,1062108
00525400,Lanier Technical College,2122657,1061329
00348000,Bethel University,2121073,1060537
01085800,Avalon School Of Cosmetology,2120430,1060215
00220900,Smith College,2119895,1059948
00317900,Southeastern Oklahoma State University,2118149,1059075
00359600,Odessa College,2118029,1059015
00277900,Nazareth College Of Rochester,2117252,1058626
00561900,North Georgia Technical College,2114032,1057016
00152200,South Florida State College,2111445,1055723
00329800,Messiah College,2106740,1053370
02146600,South Mountain Community College,2098614,1049307
02278800,Southern Technical College,2097167,1048584
00266800,Alfred University,2093987,1046994
03083800,Heartland Community College,2092953,1046477
00341800,Anderson University,2092286,1046143
04177100,Pima Medical Institute,2092022,1046011
00163300,Augustana College,2091818,1045909
00134600,Arapahoe Community College,2079610,1039805
00359800,Our Lady Of The Lake University,2078279,1039140
00210400,"University Of Maryland, Baltimore",2077903,1038952
00161900,College Of Southern Idaho,2076917,1038459
00345000,University Of South Carolina - Beaufort,2075254,1037627
00372400,Marymount University,2074937,1037469
00104600,Talladega College,2069544,1034772
00569700,Northwest - Shoals Community College,2069470,1034735
02334400,Centura College,2069211,1034606
00454900,Leeward Community College,2067889,1033945
03544300,Atenas College,2067059,1033530
00106300,University Of Alaska Fairbanks,2066651,1033326
00267100,Bard College,2064786,1032393
00214800,Endicott College,2063007,1031504
01002000,Lewis And Clark Community College,2062380,1031190
00201200,Louisiana State University At Eunice,2060199,1030100
00381000,Concord University,2057014,1028507
00188900,Saint Ambrose University,2054932,1027466
00675600,Northshore Technical Community College,2051300,1025650
00118100,College Of San Mateo,2042860,1021430
00373700,Shenandoah University,2040202,1020101
00235300,Gustavus Adolphus College,2036930,1018465
00296100,Sandhills Community College,2033057,1016529
00763500,Capital Community College,2032022,1016011
00277700,Medaille College,2028538,1014269
00259800,Caldwell University,2028129,1014065
00330100,Moravian College,2025895,1012948
02338500,Glendale Career College,2025197,1012599
00327500,Holy Family University,2023957,1011979
00178100,Wheaton College,2023744,1011872
00731600,Western Iowa Tech Community College,2023618,1011809
00161300,Kapiolani Community College,2022941,1011471
00329600,Marywood University,2020450,1010225
00133800,West Valley College,2016079,1008040
01260600,Empire Beauty School,2008780,1004390
00324100,Cabrini University,2005185,1002593
00369200,Norwich University,2004614,1002307
01056700,Colegio Universitario De San Juan,2002902,1001451
00201100,Louisiana State University At Alexandria,1998555,999278
00216000,Lesley University,1997859,998930
00681500,Orangeburg - Calhoun Technical College,1996646,998323
00495100,University Of Texas Health Science Center At Houston,1995703,997852
00546400,Richmond Community College,1993968,996984
00696000,Maysville Community And Technical College,1992396,996198
00227600,Kellogg Community College,1991422,995711
00966400,Empire Beauty School,1988069,994035
00248600,Mineral Area College,1986137,993069
00352800,Union University,1984881,992441
00365400,University Of Saint Thomas,1984472,992236
00323300,Alvernia University,1983784,991892
00274400,Keuka College,1981704,990852
00162100,Lewis-Clark State College,1979771,989886
00312100,Tiffin University,1977210,988605
01242500,Stone Academy,1976921,988461
00372000,University Of Lynchburg,1975980,987990
00316200,Northern Oklahoma College,1971017,985509
00211400,American International College,1970878,985439
00399900,Cleveland State Community College,1970716,985358
00222400,Wellesley College,1970468,985234
00328200,Kings College,1968517,984259
00938700,Perry Technical Institute,1967635,983818
02246300,Ross Medical Education Center,1965598,982799
02119100,Mission College,1961952,980976
00146000,Trinity Washington University,1960751,980376
03022400,College Of The Marshall Islands,1956673,978337
03751300,Escuela Hotelera De San Juan,1955007,977504
00525200,Ridgewater College,1950916,975458
03035900,National Aviation Academy,1950415,975208
00323800,Bucknell University,1946454,973227
00294100,Lenoir-Rhyne University,1941090,970545
00213900,Clark University,1940791,970396
00286300,Corning Community College - Suny Office Of Community Colleges,1937448,968724
00150500,Lynn University,1935875,967938
00529400,Waukesha County Technical College,1935258,967629
00316000,Northeastern Oklahoma A & M College,1934724,967362
00214300,Curry College,1934414,967207
00316400,Oklahoma Baptist University,1934138,967069
00357100,Hardin-Simmons University,1934006,967003
01186400,Mohave Community College,1933935,966968
00927200,Crafton Hills College,1933930,966965
00368800,Northern Vermont University,1932341,966171
00332400,Mansfield University Of Pennsylvania,1932117,966059
01111200,Fashion Institute Of Design & Merchandising,1931729,965865
01235800,Plaza College,1926657,963329
00945900,Empire Beauty School,1925983,962992
00294600,Methodist University,1925342,962671
00348500,Cumberland University,1920642,960321
00214100,College Of The Holy Cross,1919146,959573
00231000,St. Clair County Community College,1909478,954739
00103100,Northeast Alabama Community College,1901781,950891
00368100,Westminster College,1897239,948620
00199000,Ashland Community And Technical College,1897125,948563
00573400,H. Councill Trenholm State Community College,1892834,946417
00992800,Piedmont Virginia Community College,1892438,946219
00183200,University Of Saint Francis,1891129,945565
02099500,Central Community College,1890454,945227
02218800,Brookline College,1890270,945135
00363700,Jarvis Christian College,1888040,944020
00751800,Apex Technical School,1885989,942995
00328300,Lackawanna College,1885348,942674
00324000,Butler County Community College,1882832,941416
00527600,Central Maine Community College,1882719,941360
00317600,Carl Albert State College,1880688,940344
00129300,Vanguard University Of Southern California,1879831,939916
00727900,Hawaii Pacific University,1879700,939850
00134200,Whittier College,1879550,939775
00166600,Concordia University,1875573,937787
00553700,South Central College,1873482,936741
00280800,Daemen College,1872946,936473
00298000,Wayne Community College,1871243,935622
00561700,South Georgia Technical College,1870108,935054
00325200,Delaware Valley University,1867829,933915
00791200,Thaddeus Stevens College Of Technology,1866667,933334
00486600,Stautzenberger College,1866592,933296
00357200,Trinity Valley Community College,1865240,932620
00369100,Middlebury College,1862094,931047
00681900,Blue Ridge Community College,1862031,931016
00970600,South Seattle College,1861609,930805
00524500,University Of Arkansas Community College At Morrilton,1861056,930528
02073900,Wor-Wic Community College,1860894,930447
00364500,Texas Wesleyan University,1857910,928955
00207100,Frederick Community College,1851890,925945
00246300,Evangel University,1850723,925362
00172700,Moody Bible Institute,1848490,924245
00157300,Georgia Southwestern State University,1848045,924023
00398600,Desales University,1846942,923471
00678800,Tompkins Cortland Community College,1845177,922589
02242700,Berkeley City College,1844524,922262
00993000,University Of Texas Of The Permian Basin,1840016,920008
03033000,Northern Marianas College,1839331,919666
03627300,Lamar Institute Of Technology,1836301,918151
00289500,Vassar College,1835621,917811
00458700,Northeast Iowa Community College,1835580,917790
00499900,Bellingham Technical College,1833051,916526
00313500,Walsh University,1831514,915757
00223500,Albion College,1831231,915616
00559600,Emily Griffith Technical College,1828725,914363
00319700,Lewis & Clark College,1827087,913544
00201300,Louisiana State University In Shreveport,1825886,912943
00335000,University Of The Arts (The),1825665,912833
00292900,Gardner - Webb University,1825407,912704
01005600,Aiken Technical College,1824100,912050
03426300,College Of Health Care Professions (The),1823842,911921
02093700,Long Island Business Institute,1821234,910617
00498800,Central Virginia Community College,1817818,908909
00355300,Cisco College,1817547,908774
00314900,Southern Nazarene University,1815175,907588
00378200,Lower Columbia College,1810047,905024
00277800,Mount Saint Mary College,1809886,904943
00199600,Big Sandy Community And Technical College,1809773,904887
00282900,St. Lawrence University,1808349,904175
00321100,Oregon Institute Of Technology,1807273,903637
00258100,Nhti - Concord'S Community College,1806576,903288
03639300,West Coast Ultrasound Institute,1805882,902941
00186700,Grand View University,1805328,902664
00182100,Marian University,1805271,902636
00183900,Trine University,1800977,900489
00370400,Bridgewater College,1799980,899990
00527300,Gateway Community And Technical College,1797783,898892
00970400,North Seattle College,1795310,897655
02127400,Yti Career Institute,1793845,896923
03120300,Collegeamerica - Flagstaff,1792797,896399
03034500,Owensboro Community & Technical College,1789723,894862
01168900,Refrigeration School (The),1786314,893157
00315300,Connors State College,1785542,892771
00362500,Sul Ross State University,1779991,889996
00373600,Roanoke College,1777599,888800
00121800,Loma Linda University,1777517,888759
03903500,Southern Technical College,1776085,888043
00217100,Massachusetts Bay Community College,1775751,887876
00327200,Harcum College,1774344,887172
00271200,D'Youville College,1773370,886685
00279000,Nyack College,1773064,886532
00776400,Southeast Technical Institute,1770458,885229
00459500,Hawkeye Community College,1769048,884524
00530900,Lake Area Technical Institute,1768161,884081
00709600,College Of The Mainland,1767883,883942
00158800,Piedmont College,1766322,883161
00245300,Central Methodist University,1766287,883144
00304200,Denison University,1766023,883012
00212100,Babson College,1761990,880995
00551100,Coastal Pines Technical College,1758137,879069
00398800,Neumann University,1758118,879059
00575700,Lake Superior College,1757151,878576
00368300,Castleton University,1756834,878417
00483500,Caldwell Community College & Technical Institute,1753469,876735
00382800,West Virginia University - Parkersburg,1753087,876544
00223400,Adrian College,1752186,876093
00303000,Ohio Christian University,1748170,874085
01302900,Boricua College,1744981,872491
00323000,Allegheny College,1743082,871541
04118800,New York Film Academy,1739271,869636
00383200,Alverno College,1738517,869259
00933300,University Of Illinois At Springfield,1731887,865944
01166700,Northeast Community College,1729207,864604
00314300,Wittenberg University,1728770,864385
00260300,Drew University,1727427,863714
00487800,Clackamas Community College,1724926,862463
02070500,Concordia University,1723598,861799
00276000,Manhattanville College,1721825,860913
00352600,Trevecca Nazarene University,1718898,859449
00974000,Inver Hills Community College,1718868,859434
01043400,Renton Technical College,1717551,858776
00531100,Tulsa Technology Center School District No. 18,1717200,858600
00311600,University Of Rio Grande,1717045,858523
00341100,Salve Regina University,1715409,857705
00394600,University Of The Virgin Islands,1713737,856869
00281000,Sage Colleges,1712646,856323
00270800,Barnard College,1712643,856322
00294400,Mars Hill University,1707699,853850
00276900,Marymount Manhattan College,1701441,850721
00265300,New Mexico Highlands University,1699974,849987
00450600,Colorado Mountain College,1694667,847334
00326500,Franklin & Marshall College,1692121,846061
00976900,Metropolitan College Of New York,1690962,845481
00260800,Georgian Court University,1690335,845168
03123900,Southeastern College,1689659,844830
00271300,Dominican College Of Blauvelt,1684221,842111
00530600,Bates Technical College,1684098,842049
00293100,Guilford College,1682787,841394
00285100,Suny College Of Environment Science & Forestry,1681739,840870
00179500,University Of Evansville,1681651,840826
00366200,Victoria College,1680905,840453
00208600,Mount Saint Mary'S University,1678019,839010
00866100,Southside Virginia Community College,1677846,838923
02074800,Life University,1677181,838591
01193000,Roxbury Community College,1677144,838572
00253100,Montana Technological University,1676199,838100
00294500,Meredith College,1674515,837258
00371100,Ferrum College,1673615,836808
00327000,Gwynedd Mercy University,1673075,836538
00979700,Midland College,1673002,836501
00726000,Southwest Virginia Community College,1671535,835768
00193700,Ottawa University,1667633,833817
01104600,Central Ohio Technical College,1667250,833625
00887100,Concorde Career College,1667137,833569
00364700,Trinity University,1665507,832754
00238000,Saint Mary'S University Of Minnesota,1661096,830548
00350100,Lemoyne - Owen College,1660276,830138
00233900,Central Lakes College,1658191,829096
00522300,New River Community College,1658163,829082
00343400,Furman University,1656467,828234
00326800,Gettysburg College,1656033,828017
00214700,Emmanuel College,1651975,825988
00886200,East Central College,1651321,825661
00382600,West Virginia State University,1650103,825052
00215800,Lasell University,1647941,823971
01218200,Chattahoochee Valley Community College,1645716,822858
00212300,Becker College,1645170,822585
00237500,Southwest Minnesota State University,1644234,822117
02052200,Black River Technical College,1643629,821815
00144300,Gallaudet University,1642996,821498
00754900,Coyne College,1641135,820568
00281400,Skidmore College,1640633,820317
00861200,Robeson Community College,1637622,818811
00172200,Mckendree University,1636302,818151
00270100,Colgate University,1636002,818001
00286700,Suny Fulton-Montgomery Community College,1635420,817710
00357700,Huston - Tillotson University,1630192,815096
00210900,Mcdaniel College,1629536,814768
04143800,Woodland Community College,1623074,811537
03030000,Ogeechee Technical College,1622353,811177
00740100,Mandl School,1620451,810226
00330400,Muhlenberg College,1619907,809954
00316500,Oklahoma Christian University,1619172,809586
01001000,American Samoa Community College,1617885,808943
00199800,Southeast Kentucky Community And Technical College,1616993,808497
03427500,University Of Antelope Valley,1613796,806898
00336800,Saint Vincent College & Seminary,1605435,802718
00303600,Franciscan University Of Steubenville,1604718,802359
00375800,Danville Community College,1604222,802111
00310900,Ohio Wesleyan University,1602505,801253
02542300,National Holistic Institute,1602448,801224
00229300,Lake Superior State University,1602263,801132
00348200,Christian Brothers University,1600690,800345
01092200,University Of Puerto Rico - Utuado,1600359,800180
00308400,Muskingum University,1596789,798395
00389200,Saint Norbert College,1595105,797553
00344000,Newberry College,1592676,796338
00281700,St. Bonaventure University,1592629,796315
00234600,Concordia College - Moorhead,1590356,795178
00155400,Berry College,1589811,794906
00341700,Allen University,1589675,794838
00219200,Mount Holyoke College,1588803,794402
00234700,Concordia University - Saint Paul,1588736,794368
02343600,Institute Of Beauty Careers,1583438,791719
00231800,Spring Arbor University,1581268,790634
01014800,Colorado Technical University,1581179,790590
02583000,Gwinnett College,1577669,788835
00207300,Goucher College,1575324,787662
00324500,Chestnut Hill College,1574651,787326
00211500,Amherst College,1574582,787291
00179200,Depauw University,1574528,787264
00103300,Oakwood University,1573749,786875
00234100,College Of Saint Benedict,1572552,786276
00273100,Hobart And William Smith Colleges,1571579,785790
00134500,Adams State University,1568914,784457
00754000,Missouri Baptist University,1567808,783904
03091300,Regent University,1567327,783664
00198000,University Of Pikeville,1566531,783266
00222900,Williams College,1564588,782294
00178500,Anderson University,1564159,782080
00148700,Eckerd College,1561944,780972
02166100,Elaine P. Nunez Community College,1561099,780550
00537300,Lake Washington Institute Of Technology,1558088,779044
00111900,Barstow Community College,1556808,778404
00356400,East Texas Baptist University,1556715,778358
04162500,Hollywood Institute Of Beauty Careers,1554527,777264
00257900,New England College,1554133,777067
00180000,Grace College And Theological Seminary,1551701,775851
00266400,Western New Mexico University,1551426,775713
00170600,Lake Forest College,1546268,773134
00231600,Siena Heights University,1545879,772940
00365900,University Of Texas Health Science Center At San Antonio,1545801,772901
00768400,Kishwaukee College,1545526,772763
00166400,University Of St. Francis,1539673,769837
00254400,Doane University,1538922,769461
00366900,Wiley College,1538638,769319
00316600,Oklahoma City University,1536667,768334
03948300,Harrisburg University Of Science And Technology,1536586,768293
00324700,Misericordia  University,1536398,768199
00299200,University Of Mary,1536188,768094
03113600,Southern California Institute Of Technology,1535401,767701
00295700,Queens University Of Charlotte,1532289,766145
00538000,Mid-State Technical College,1528012,764006
00324300,Cedar Crest College,1526417,763209
00185400,Coe College,1525647,762824
03170300,Texas A & M University - Texarkana,1525001,762501
00381600,Southern West Virginia Community And Technical College,1523218,761609
00231700,Southwestern Michigan College,1522115,761058
00478800,Herkimer County Community College - Suny Office Of Community Colleges,1522074,761037
02361600,Concorde Career College,1519727,759864
00228200,Madonna University,1517426,758713
00345900,Black Hills State University,1514973,757487
00314200,Wilmington College,1514460,757230
00226600,Cornerstone University,1514292,757146
00355700,Concordia University Texas,1512530,756265
00182000,Manchester University,1511452,755726
00218000,Massachusetts College Of Art And Design,1510265,755133
00679900,Craven Community College,1509343,754672
00322700,Willamette University,1509234,754617
00372600,American National University,1508237,754119
00360000,Panola College,1507332,753666
00316300,Northwestern Oklahoma State University,1506494,753247
01182400,Wisconsin Indianhead Technical College,1505393,752697
02357600,Navajo Technical University,1503703,751852
00925900,Laramie County Community College,1502654,751327
00221700,Stonehill College,1498782,749391
00150100,Florida Gateway College,1498341,749171
03006300,Ibmc College,1497661,748831
01162100,Automotive Training Center,1497626,748813
00286100,Cayuga Community College - Suny Office Of Community College,1497604,748802
00126700,Merritt College,1497283,748642
02185400,Saint Augustine College,1496982,748491
00683500,Dyersburg State Community College,1495222,747611
00205700,Allegany College Of Maryland,1494165,747083
00143300,Wesley College,1494069,747035
00352700,Tusculum University,1493995,746998
00376700,Virginia Wesleyan University,1493207,746604
00392500,University Of Wisconsin - Superior,1488367,744184
00289900,Wagner College,1488258,744129
00243900,Tougaloo College,1487317,743659
00128100,William Jessup University,1486736,743368
00190000,William Penn University,1485340,742670
00211800,Assumption College,1485031,742516
00235800,Macalester College,1483970,741985
00375100,Patrick Henry Community College,1483723,741862
00160500,Chaminade University Of Honolulu,1482800,741400
02230500,Ogle School Hair Skin Nails,1482600,741300
00538700,Northcentral Technical College,1482377,741189
00343900,Morris College,1481212,740606
01116700,Community College Of Vermont,1480650,740325
00377200,Centralia College,1477765,738883
00335300,University Of The Sciences In Philadelphia,1475914,737957
00124900,Occidental College,1474674,737337
00377000,Big Bend Community College,1473837,736919
04228100,High Desert Medical College,1472341,736171
00154000,Webber International University,1470540,735270
01040200,Dakota County Technical College,1467178,733589
00340900,Rhode Island School Of Design,1464915,732458
00548900,Central Louisiana Technical Community College,1462721,731361
00227900,Lawrence Technological University,1462382,731191
00308600,Oberlin College,1457347,728674
00226200,Kettering University,1457033,728517
00347000,South Dakota School Of Mines & Technology,1455698,727849
02548800,South Texas Vocational Technical Institute,1455120,727560
00357400,Howard County Junior College District,1454607,727304
00990300,Vance - Granville Community College,1453645,726823
01072400,Albizu University,1453598,726799
00405700,National American University,1453446,726723
00536000,Tennessee College Of Applied Technology-Memphis,1453214,726607
00188700,Simpson College,1453050,726525
00807600,John A. Logan College,1452644,726322
00296800,Saint Augustine'S University,1450038,725019
00170100,Kaskaskia College,1449286,724643
04038600,Bridgevalley Community And Technical College,1445025,722513
01226100,North Arkansas College,1444804,722402
00328800,Lebanon Valley College,1442705,721353
00339100,Waynesburg University,1442703,721352
00381300,Glenville State College,1440768,720384
00216800,Cape Cod Community College,1440010,720005
00379900,Walla Walla University,1437520,718760
00325300,Dickinson College,1436068,718034
00238900,University Of Minnesota - Morris,1434554,717277
00297000,Surry Community College,1433250,716625
